"","sample","latitude","longitude","Max_if_2_habitats_have_same","depth","slope4","slope8","aspect4","aspect8","tpi","tri","roughness","flowdir"
"333","LGBDT2_2181",-33.5747,115.1883,"Seagrasses",-22.204008102417,0.264935837087869,0.264935837087869,1.60579617762073,1.60579617762073,-0.0115861892700195,0.0354652404785156,0.10284423828125,1
"334","LGBDT2_2185",-33.57456667,115.1883833,"Seagrasses",-22.1623497009277,0.0997013888389488,0.0997013888389488,241.128208265476,241.128208265476,0.0375242233276367,0.0376887321472168,0.0827484130859375,16
"335","LGBDT2_2191",-33.57436667,115.1885333,"Seagrasses",-22.2370929718018,0.18264337790289,0.18264337790289,317.731837648737,317.731837648737,-0.00954961776733398,0.0319137573242188,0.127824783325195,16
"336","LGBDT2_2201",-33.57401667,115.1885833,"Seagrasses",-22.3025932312012,0.0966426608604804,0.0966426608604804,51.7708185313472,51.7708185313472,-0.0185971260070801,0.0209741592407227,0.0657215118408203,1
"337","LGBDT2_2218",-33.57345,115.1886,"Seagrasses",-22.3945426940918,0.499056017950266,0.499056017950266,42.8357993730837,42.8357993730837,-0.00877904891967773,0.0649662017822266,0.219846725463867,1
"338","LGBDT2_2261",-33.57201667,115.1888333,"Seagrasses",-23.304370880127,0.286967392154183,0.286967392154183,34.0422263949129,34.0422263949129,-0.0216519832611084,0.0409986972808838,0.133417129516602,1
"339","LGBDT2_2269",-33.57175,115.1888833,"Unconsolidated",-23.3306922912598,0.16243097661683,0.16243097661683,169.20832302312,169.20832302312,-0.0267946720123291,0.0296432971954346,0.0927181243896484,4
"340","LGBDT2_2282",-33.57131667,115.1891167,"Unconsolidated",-23.5357227325439,0.270549763645212,0.270549763645212,5.65079195435214,5.65079195435214,-0.104220867156982,0.104220867156982,0.257743835449219,32
"341","LGBDT2_2286",-33.57118333,115.18915,"Seagrasses",-23.4507217407227,0.598825842165093,0.598825842165093,201.253920012364,201.253920012364,-0.0176239013671875,0.078826904296875,0.263538360595703,16
"342","LGBDT2_2289",-33.57108333,115.1891667,"Unconsolidated",-23.3100967407227,0.674023999786104,0.674023999786104,217.065081862036,217.065081862036,0.0505576133728027,0.106655120849609,0.318130493164062,16
"343","LGBDT2_2296",-33.57086667,115.1893,"Unconsolidated",-23.1563777923584,0.62763649674845,0.62763649674845,303.882821348712,303.882821348712,0.049612283706665,0.0816514492034912,0.320817947387695,16
"344","LGBDT2_2322",-33.57003333,115.1893,"Unconsolidated",-23.9191856384277,0.396141407486509,0.396141407486509,21.2018078164417,21.2018078164417,-0.0224747657775879,0.0561604499816895,0.171306610107422,1
"345","LGBDT2_2325",-33.56993333,115.1892833,"Unconsolidated",-23.9328708648682,0.526092000977122,0.526092000977122,45.8143707411028,45.8143707411028,-0.0197632312774658,0.0693819522857666,0.263622283935547,1
"346","LGBDT2_2342",-33.5694,115.1893167,"Unconsolidated",-24.0545253753662,0.3114501955496,0.3114501955496,204.585743592126,204.585743592126,-0.0279285907745361,0.0439770221710205,0.148178100585938,16
"347","LGBDT2_2383",-33.56815,115.1890833,"Turf.algae",-24.2633495330811,0.197602505451416,0.197602505451416,286.807816265621,286.807816265621,0.00538492202758789,0.0296764373779297,0.0983142852783203,16
"348","LGBDT2_2385",-33.56808333,115.1890667,"Seagrasses",-24.2994079589844,0.185309558361272,0.185309558361272,277.085380499852,277.085380499852,0.00980925559997559,0.0288407802581787,0.101356506347656,16
"349","LGBDT2_2411",-33.5673,115.18895,"Seagrasses",-24.3957366943359,0.388550359605894,0.388550359605894,348.391233432333,348.391233432333,0.000384807586669922,0.0512933731079102,0.158742904663086,16
"350","LGBDT2_2414",-33.56721667,115.1889,"Seagrasses",-24.4683628082275,0.43522687200784,0.43522687200784,338.863048823304,338.863048823304,-0.00588536262512207,0.0586397647857666,0.200067520141602,16
"351","LGBDT2_2416",-33.56718333,115.18885,"Seagrasses",-24.5818576812744,0.560062664979203,0.560062664979203,345.848209232532,345.848209232532,-0.00559186935424805,0.077547550201416,0.21925163269043,16
"352","LGBDT2_2418",-33.56711667,115.1888167,"Seagrasses",-24.5818576812744,0.560062664979203,0.560062664979203,345.848209232532,345.848209232532,-0.00559186935424805,0.077547550201416,0.21925163269043,16
"353","LGBDT2_2424",-33.56693333,115.1887833,"Seagrasses",-24.6762504577637,0.232282835768778,0.232282835768778,140.381714411185,140.381714411185,-0.0274999141693115,0.0377819538116455,0.121240615844727,1
"354","LGBDT2_2426",-33.56688333,115.1887833,"Unconsolidated",-24.5993061065674,0.229977531887012,0.229977531887012,133.630426706138,133.630426706138,0.0403242111206055,0.0439572334289551,0.121240615844727,1
"355","LGBDT2_2428",-33.56681667,115.1887833,"Unconsolidated",-24.6112728118896,0.237748280820049,0.237748280820049,4.54239880008557,4.54239880008557,0.0359227657318115,0.0455391407012939,0.141651153564453,1
"356","LGBDT2_2432",-33.5667,115.1887833,"Seagrasses",-24.6898937225342,0.371900004948458,0.371900004948458,344.309250822788,344.309250822788,-0.00575757026672363,0.0525405406951904,0.140260696411133,16
"357","LGBDT2_2436",-33.56658333,115.1887667,"Seagrasses",-24.7467098236084,0.220140690483823,0.220140690483823,336.700853604255,336.700853604255,-0.0164024829864502,0.028397798538208,0.104496002197266,16
"358","LGBDT2_2449",-33.56615,115.1888,"Turf.algae",-24.8451271057129,0.20880349706888,0.20880349706888,304.616983072849,304.616983072849,-0.0113983154296875,0.0293059349060059,0.10462760925293,16
"359","LGBDT2_2461",-33.56578333,115.1887667,"Turf.algae",-24.8860054016113,0.498191323409869,0.498191323409869,13.9286632665758,13.9286632665758,-0.0199887752532959,0.0659153461456299,0.217844009399414,64
"360","LGBDT2_2468",-33.56563333,115.1887333,"Unconsolidated",-25.0516681671143,0.606300159828383,0.606300159828383,20.4034772494633,20.4034772494633,-0.0234494209289551,0.0807938575744629,0.259895324707031,1
