"","cells","Class","n","coords.x1","coords.x2","ID","depth","slope4","slope8","aspect4","aspect8","tpi","tri","roughness","flowdir"
"149","27024","Turf.algae",3,115.212807142857,-33.5695428585714,149,-24,0.133172228932381,0.133172228932381,346.589630126953,346.589630126953,0.25,0.5,2,64
"150","27061","Seagrasses",15,115.306897773333,-33.5687100006667,150,-19,0.1728855073452,0.1728855073452,296.716278076172,296.716278076172,0.375,0.625,2,16
"151","27078","Seagrasses",7,115.349468058333,-33.5681694433333,151,-14,9.93923349559222e-17,9.93923349559222e-17,90,90,0,0,0,128
"152","27079","Turf.algae",3,115.35035,-33.56955,152,-14,0.0403134673833847,0.0403134673833847,50.0087623596191,50.0087623596191,0,0.25,2,1
"153","27118","Turf.algae",8,115.449236354545,-33.56824697,153,-5,0.161253467202187,0.161253467202187,309.991241455078,309.991241455078,-0.25,0.5,2,32
"154","27119","Seagrasses",3,115.450433333333,-33.56957222,154,-4,0.201566532254219,0.201566532254219,309.991241455078,309.991241455078,0.25,0.75,2,16
"155","27232","Seagrasses",4,115.121528557143,-33.5711571428571,155,-22,0.334544062614441,0.334544062614441,21.6721858978271,21.6721858978271,0.25,1.25,4,1
"156","27259","Unconsolidated",5,115.189107142857,-33.5711785714286,156,-24,0.235209941864014,0.235209941864014,352.454406738281,352.454406738281,0.125,0.875,3,32
"157","27269","Seagrasses",10,115.2129119,-33.5711988092857,157,-24,0.120647206902504,0.120647206902504,329.201721191406,329.201721191406,-0.5,0.5,1,128
"158","27306","Seagrasses",13,115.3068631,-33.5714214278571,158,-19,0.192427664995193,0.192427664995193,285.621246337891,285.621246337891,0,0.5,2,16
"159","27324","Turf.algae",7,115.351245833333,-33.5706902775,159,-14,0.0806282609701157,0.0806282609701157,309.990417480469,309.990417480469,-0.125,0.375,2,128
"160","27364","Seagrasses",10,115.451247225,-33.5709736108333,160,-4,NA,NA,NA,NA,NA,NA,2,32
"161","27476","Seagrasses",8,115.119435188889,-33.5741703711111,161,-20,0.361940085887909,0.361940085887909,30.7990188598633,30.7990188598633,0.125,1.375,4,1
"162","27477","Seagrasses",6,115.1204999875,-33.5727458325,162,-21,0.349317580461502,0.349317580461502,15.382719039917,15.382719039917,-0.375,1.375,4,128
"163","27504","Seagrasses",5,115.18847998,-33.574220002,163,-23,0.133172646164894,0.133172646164894,13.4111127853394,13.4111127853394,0.25,0.5,2,64
"164","27514","Unconsolidated",5,115.213409528571,-33.5743047614286,164,-23,0.103632993996143,0.103632993996143,5.08888754974322e-14,5.08888754974322e-14,0.125,0.375,2,64
"165","27551","Turf.algae",14,115.305931578947,-33.5736561394737,165,-19,0.172893494367599,0.172893494367599,296.714935302734,296.714935302734,-0.375,0.625,2,32
"166","27569","Seagrasses",4,115.35233,-33.57281,166,-14,0.133976310491562,0.133976310491562,292.7529296875,292.7529296875,-0.5,0.5,1,64
"167","27570","Seagrasses",8,115.353375008333,-33.5737916675,167,-13,0.0962166860699654,0.0962166860699654,285.620819091797,285.620819091797,0.25,0.25,1,16
"168","27609","Seagrasses",1,115.4525,-33.57303333,168,-3,NA,NA,NA,NA,NA,NA,3,1
"169","27720","Seagrasses",4,115.11723332,-33.577123334,169,-18,0.322520822286606,0.322520822286606,50.0112152099609,50.0112152099609,0,1,4,1
"170","27721","Seagrasses",5,115.11799,-33.576269998,170,-19,0.279681384563446,0.279681384563446,33.5184440612793,33.5184440612793,-0.25,1,4,128
"171","27748","Seagrasses",6,115.1872639,-33.5768555566667,171,-22,0.120946407318115,0.120946407318115,50.0112152099609,50.0112152099609,0.625,0.625,1,1
"172","27749","Seagrasses",6,115.187971428571,-33.57532143,172,-23,0.0806310027837753,0.0806310027837753,50.0112152099609,50.0112152099609,-0.375,0.375,1,64
"173","27759","Unconsolidated",8,115.213185177778,-33.5762425911111,173,-23,0.120649039745331,0.120649039745331,30.7997493743896,30.7997493743896,-0.5,0.5,1,64
"174","27796","Seagrasses",14,115.306411394737,-33.5760298252632,174,-18,0.133979618549347,0.133979618549347,292.752349853516,292.752349853516,0.5,0.5,1,16
